Pixel at (0, 0): R=0, G=0, B=0
Pixel at (0, 1): R=0, G=0, B=0
Pixel at (0, 2): R=0, G=0, B=0
Pixel at (0, 3): R=0, G=0, B=0
Pixel at (0, 4): R=0, G=0, B=0
Pixel at (0, 5): R=0, G=0, B=0
Pixel at (0, 6): R=0, G=0, B=0
Pixel at (0, 7): R=0, G=0, B=0
Pixel at (0, 8): R=0, G=0, B=0
Pixel at (0, 9): R=0, G=0, B=0
Pixel at (0, 10): R=0, G=0, B=0
Pixel at (0, 11): R=0, G=0, B=0
Pixel at (0, 12): R=0, G=0, B=0
Pixel at (0, 13): R=0, G=0, B=0
Pixel at (0, 14): R=0, G=0, B=0
Pixel at (0, 15): R=0, G=0, B=0
Pixel at (0, 16): R=0, G=0, B=0
Pixel at (0, 17): R=0, G=0, B=0
Pixel at (0, 18): R=0, G=0, B=0
Pixel at (0, 19): R=0, G=0, B=0
Pixel at (0, 20): R=0, G=0, B=0
Pixel at (0, 21): R=0, G=0, B=0
Pixel at (0, 22): R=0, G=0, B=0
Pixel at (0, 23): R=0, G=0, B=0
Pixel at (0, 24): R=0, G=0, B=0
Pixel at (0, 25): R=0, G=0, B=0
Pixel at (0, 26): R=0, G=0, B=0
Pixel at (0, 27): R=0, G=0, B=0
Pixel at (0, 28): R=0, G=0, B=0
Pixel at (0, 29): R=0, G=0, B=0
Pixel at (0, 30): R=0, G=0, B=0
Pixel at (0, 31): R=0, G=0, B=0
Pixel at (0, 32): R=0, G=0, B=0
Pixel at (0, 33): R=0, G=0, B=0
Pixel at (0, 34): R=0, G=0, B=0
Pixel at (0, 35): R=0, G=0, B=0
Pixel at (0, 36): R=0, G=0, B=0
Pixel at (0, 37): R=0, G=0, B=0
Pixel at (0, 38): R=0, G=0, B=0
Pixel at (0, 39): R=0, G=0, B=0
Pixel at (0, 40): R=0, G=0, B=0
Pixel at (0, 41): R=0, G=0, B=0
Pixel at (0, 42): R=0, G=0, B=0
Pixel at (0, 43): R=0, G=0, B=0
Pixel at (0, 44): R=0, G=0, B=0
Pixel at (0, 45): R=0, G=0, B=0
Pixel at (0, 46): R=0, G=0, B=0
